Station,City,Date,Avg_Temp
USR0000MROC,"ROCKY BOY MONTANA, MT US",1/1/21,40
USW00024144,"HELENA AIRPORT ASOS, MT US",1/1/21,40
USR0000MHOT,"HOT SPRINGS MONTANA, MT US",1/1/21,38
USR0000MDRY,"DRY BLOOD CREEK MONTANA, MT US",1/1/21,38
USR0000MFOR,"FORT BELKNAP MONTANA, MT US",1/1/21,37
USR0000MGLE,"GLEASON MONTANA, MT US",1/1/21,37
USR0000MBAP,"BADGER PEAK MONTANA, MT US",1/1/21,37
USW00024137,"CUT BANK AIRPORT, MT US",1/1/21,37
USS0009A01S,"ROCKY BOY, MT US",1/1/21,37
USR0000MKIN,"KING COULEE MONTANA, MT US",1/1/21,37
USR0000MBRO,"BROWNING BFA MONTANA, MT US",1/1/21,37
USR0000MSSC,"SOUTH SAWMILL CREEK MONTANA, MT US",1/1/21,37
USW00024143,"GREAT FALLS AIRPORT, MT US",1/1/21,36
USR0000MJET,"JETTE MONTANA, MT US",1/1/21,36
USR0000MSTM,"ST. MARY MONTANA, MT US",1/1/21,36
USR0000MHEL,"HELENA MONTANA, MT US",1/1/21,36
USS0012A02S,"DUPUYER CREEK, MT US",1/1/21,36
USR0000MPAR,"PARDEE MONTANA, MT US",1/1/21,35
USR0000MWOL,"WOLF MOUNTAIN MONTANA, MT US",1/1/21,35
USR0000MEUR,"EUREKA MONTANA, MT US",1/1/21,35
USR0000MSOD,"SODA SPRINGS MONTANA, MT US",1/1/21,35
USR0000MPHL,"PHILIPSBURG MONTANA, MT US",1/1/21,35
USR0000MMAC,"MANNING CORRAL DOGTOWN MONTANA, MT US",1/1/21,35
USC00244558,"KALISPELL GLACIER AIRPORT, MT US",1/1/21,35
USR0000MSTE,"STEVI MONTANA, MT US",1/1/21,35
USR0000MGIN,"GINGER MONTANA, MT US",1/1/21,35
USS0013A27S,"MANY GLACIER, MT US",1/1/21,35
USS0012B13S,"WALDRON, MT US",1/1/21,35
USR0000MTHO,"THOMPSON FALLS AIRPORT MONTANA, MT US",1/1/21,34
USS0015A12S,"POORMAN CREEK, MT US",1/1/21,34
USS0014A11S,"GRAVE CREEK, MT US",1/1/21,34
USR0000MCON,"CONDON WORK CENTER MONTANA, MT US",1/1/21,34
USR0000MDPC,"DEEP CREEK BFA MONTANA, MT US",1/1/21,34
USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",1/1/21,34
USR0000MLIT,"LITTLE BULLWACKER CREEK MONTAN, MT US",1/1/21,34
USR0000MARM,"ARMELLS CREEK MONTANA, MT US",1/1/21,34
USR0000MBSM,"BIG SHEEP MOUNTAIN MONTANA, MT US",1/1/21,34
USR0000MPOL,"POLEBRIDGE MONTANA, MT US",1/1/21,34
USS0012B16S,"COPPER BOTTOM, MT US",1/1/21,34
USS0013B22S,"KRAFT CREEK, MT US",1/1/21,34
USS0013C33S,"COMBINATION, MT US",1/1/21,34
USR0000MBEN,"BENCHMARK MONTANA, MT US",1/1/21,33
USR0000MCBT,"CABINET TROUT CREEK MONTANA, MT US",1/1/21,33
USR0000MTRY,"TROY MONTANA, MT US",1/1/21,33
USR0000MHUN,"HUNGRY HORSE MONTANA, MT US",1/1/21,33
USR0000MLIB,"LIBBY MONTANA, MT US",1/1/21,33
USS0013C38S,"LUBRECHT FLUME, MT US",1/1/21,33
USR0000MSTR,"ST. REGIS MONTANA, MT US",1/1/21,33
USR0000MNIN,"NINE MILE MONTANA, MT US",1/1/21,33
USR0000MPLN,"PLAINS MONTANA, MT US",1/1/21,33
USS0014A14S,"HAND CREEK, MT US",1/1/21,33
USS0012B17S,"WOOD CREEK, MT US",1/1/21,33
USS0013A24S,"EMERY CREEK, MT US",1/1/21,33
USR0000MKNO,"KNOWLTON MONTANA, MT US",1/1/21,33
USR0000MWEG,"WEST GLACIER MONTANA, MT US",1/1/21,33
USR0000MLNC,"LINCOLN MONTANA, MT US",1/1/21,33
USS0013B25S,"BISSON CREEK, MT US",1/1/21,33
USS0015A05S,"GARVER CREEK, MT US",1/1/21,32
