Title,Genre,Premiere,Runtime,IMDB Score,Language
David Attenborough: A Life on Our Planet,Documentary,4-Oct-20,83,9,English
Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese
Springsteen on Broadway,One-man show,16-Dec-18,153,8.5,English
Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-20,85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-18,125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-15,91,8.4,English/Ukranian/Russian
Cuba and the Cameraman ,Documentary,24-Nov-17,114,8.3,English
Dancing with the Birds,Documentary,23-Oct-19,51,8.3,English
13th,Documentary,7-Oct-16,100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,19-Jun-20,107,8.2,English
Klaus,Animation/Christmas/Comedy/Adventure,15-Nov-19,97,8.2,English
Seaspiracy,Documentary,24-Mar-21,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,14-Oct-20,109,8.2,Spanish
Chasing Coral ,Documentary,14-Jul-17,89,8.1,English
My Octopus Teacher,Documentary,7-Sep-20,85,8.1,English
Rising Phoenix,Documentary,26-Aug-20,106,8.1,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-18,105,8,English
A Secret Love,Documentary,29-Apr-20,82,7.9,English
Icarus,Documentary,4-Aug-17,120,7.9,English
Marriage Story,Drama,6-Dec-19,136,7.9,English
The Ivory Game,Documentary,4-Nov-16,112,7.9,English
If Anything Happens I Love You,Animation / Short,20-Nov-20,12,7.8,English
The Irishman,Crime drama,27-Nov-19,209,7.8,English
The Trial of the Chicago 7,Drama,16-Oct-20,130,7.8,English
Anima,Musical / Short,27-Jun-19,15,7.7,English
Beasts of No Nation,War drama,16-Oct-15,136,7.7,English/Akan
Brene Brown: The Call to Courage,Documentary,19-Apr-19,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,25-Mar-20,108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-Nov-17,94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,12-Oct-16,90,7.7,English
Road to Roma,Making-of,11-Feb-20,72,7.7,Spanish
Roma,Drama,14-Dec-18,135,7.7,Spanish
Athlete A,Documentary,24-Jun-20,104,7.6,English
Ludo,Anthology/Dark comedy,12-Nov-20,149,7.6,Hindi
Quincy,Documentary,21-Sep-18,124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-19,144,7.6,English
Tell Me Who I Am,Documentary,18-Oct-19,85,7.6,English
The Bleeding Edge,Documentary,27-Jul-18,100,7.6,English
The Social Dilemma,Documentary,9-Sep-20,94,7.6,English
The Two Popes,Drama,20-Dec-19,125,7.6,English
"What Happened, Miss Simone?",Documentary,26-Jun-15,84,7.6,English
Yeh Ballet,Drama,21-Feb-20,117,7.6,Hindi
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-17,108,7.5,English
Blackpink: Light Up the Sky,Documentary,14-Oct-20,79,7.5,Korean
City of Joy,Documentary,7-Sep-18,74,7.5,English
Dick Johnson Is Dead,Documentary,2-Oct-20,90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,17-Apr-19,137,7.5,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,16-Aug-19,71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,24-Dec-19,70,7.5,English
Reversing Roe,Documentary,13-Sep-18,99,7.5,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
American Factory,Documentary,21-Aug-19,110,7.4,English
Fire in Paradise,Documentary,1-Nov-19,39,7.4,English
Long Shot,Documentary,29-Sep-17,40,7.4,English
Miss Americana,Documentary,31-Jan-20,85,7.4,English
Period. End of Sentence.,Documentary,12-Feb-19,26,7.4,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,25-Nov-20,87,7.4,English
Shirkers,Documentary,26-Oct-18,97,7.4,English
The Black Godfather,Documentary,7-Jun-19,118,7.4,English
The Irishman: In Conversation,Aftershow / Interview,27-Nov-19,23,7.4,English
The Speed Cubers,Documentary,29-Jul-20,40,7.4,English
They'll Love Me When I'm Dead,Documentary,2-Nov-18,98,7.4,English
Tig,Documentary,17-Jul-15,80,7.4,English
Dolemite Is My Name,Biopic,25-Oct-19,118,7.3,English
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English
Extremis,Documentary,13-Sep-16,24,7.3,English
Father Soldier Son,Documentary,17-Jul-20,100,7.3,English
Get Me Roger Stone,Documentary,12-May-17,101,7.3,English
I'm No Longer Here,Drama,27-May-20,105,7.3,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-20,96,7.3,Spanish/English
Octonauts & the Great Barrier Reef,Animation,13-Oct-20,47,7.3,English
Okja,Action-adventure,28-Jun-17,121,7.3,English/Korean
On My Skin,Crime drama,12-Sep-18,100,7.3,Italian
Raat Akeli Hai,Thriller,31-Jul-20,149,7.3,Hindi
ReMastered: Massacre at the Stadium,Documentary,11-Jan-19,64,7.3,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-19,64,7.3,English
Secrets of the Saqqara Tomb,Documentary,28-Oct-20,114,7.3,English/Arabic
Sitara: Let Girls Dream,Animation / Short,8-Mar-20,15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-16,79,7.3,English/Mandarin
Team Foxcatcher,Documentary,29-Apr-16,90,7.3,English/Russian
The Ballad of Buster Scruggs,Western,16-Nov-18,132,7.3,English
The Death and Life of Marsha P. Johnson,Documentary,6-Oct-17,105,7.3,English
The Fundamentals of Caring,Comedy-drama,24-Jun-16,97,7.3,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-15,83,7.3,English
American Murder: The Family Next Door,Documentary,30-Sep-20,82,7.2,English
Audrie & Daisy,Documentary,23-Sep-16,98,7.2,English
First They Killed My Father,Drama,15-Sep-17,136,7.2,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-19,97,7.2,English
Into the Inferno,Documentary,28-Oct-16,107,7.2,English
LA Originals,Documentary,10-Apr-20,92,7.2,English
Ladies First,Documentary,8-Mar-18,39,7.2,English/Hindi
Love per Square Foot,Romantic comedy,14-Feb-18,133,7.2,Hindi
Paddleton,Drama-Comedy,22-Feb-19,89,7.2,English
Private Life,Drama,5-Oct-18,124,7.2,English
Seventeen,Coming-of-age comedy-drama,18-Oct-19,99,7.2,Spanish
Sometimes,Drama,1-May-18,101,7.2,Tamil
Soni,Crime drama,18-Jan-19,97,7.2,Hindi
The 40-Year-Old Version,Comedy,9-Oct-20,124,7.2,English
The Disciple,Drama,30-Apr-21,129,7.2,Marathi
The Edge of Democracy,Documentary,19-Jun-19,121,7.2,Portuguese
The King,Historical drama,1-Nov-19,140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-19,13,7.2,English
The Siege of Jadotville,War,7-Oct-16,108,7.2,English
Zion ,Documentary,10-Aug-18,11,7.2,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-17,36,7.1,English
Angela's Christmas,Animation,30-Nov-18,30,7.1,English
Angela's Christmas Wish,Animation,1-Dec-20,47,7.1,English
Beats,Drama,19-Jun-19,110,7.1,English
Circus of Books,Documentary,22-Apr-20,92,7.1,English
Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-20,80,7.1,English
Derren Brown: Sacrifice,Mentalism special,19-Oct-18,49,7.1,English
El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish
End Game,Documentary,4-May-18,40,7.1,English
Evelyn,Documentary,10-Sep-19,96,7.1,English
Ferry,Crime drama,14-May-21,106,7.1,Dutch
Grass Is Greener,Documentary,20-Apr-19,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,27-Oct-20,94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,26-May-17,78,7.1,English
Keith Richards: Under the Influence,Documentary,18-Sep-15,81,7.1,English
Knock Down the House,Documentary,1-May-19,87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-18,91,7.1,English
My Beautiful Broken Brain,Documentary,18-Mar-16,91,7.1,English
One of Us,Documentary,20-Oct-17,95,7.1,English
Pieces of a Woman,Drama,7-Jan-21,126,7.1,English
"Ram Dass, Going Home",Documentary,6-Apr-18,31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-18,58,7.1,English
Rooting for Roona,Documentary,15-Oct-20,41,7.1,Bengali
The Devil All the Time,Psychological thriller,16-Sep-20,138,7.1,English
The Dig,Drama,29-Jan-21,112,7.1,English
The Great Hack,Documentary,24-Jul-19,114,7.1,English
The White Tiger,Drama,22-Jan-21,125,7.1,English
To All the Boys I've Loved Before,Romantic comedy,17-Aug-18,99,7.1,English
